Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
찬란한 내셔의 이빨,S,3.99,-0.51,14.9%,47620,0.7%,트위스티드 페이트 | 나미 | 베이가 | 카르마 | 오로라
찬란한 무한의 대검,S,4.02,-0.48,19.2%,85684,1.2%,자야 | 우르곳 | 카이사 | 진 | 사미라
찬란한 라바돈의 죽음모자,S,4.04,-0.46,14.2%,46442,0.7%,빅토르 | 트위스티드 페이트 | 아우렐리온 솔 | 벡스 | 나미
찬란한 거인 학살자,S,4.05,-0.45,15.3%,101364,1.5%,우르곳 | 벨베스 | 벡스 | 자야 | 티모
찬란한 최후의 속삭임,S,4.06,-0.44,16.7%,18692,0.3%,자야 | 진 | 우르곳 | 코르키 | 사미라
찬란한 죽음의 검,S,4.07,-0.43,16.3%,34571,0.5%,자야 | 진 | 우르곳 | 카이사 | 코르키
찬란한 붉은 덩굴정령,S,4.09,-0.41,15.9%,16725,0.2%,자야 | 벡스 | 나미 | 진 | 카르마
찬란한 가고일 돌갑옷,S,4.11,-0.39,15.7%,119399,1.7%,거대 메크 로봇 | 누누와 윌럼프 | 레오나 | 잭스 | 람머스
찬란한 크라켄의 분노,S,4.11,-0.39,15.0%,32093,0.5%,자야 | 벨베스 | 킨드레드 | 케이틀린 | 그레이브즈
찬란한 보석 건틀릿,S,4.18,-0.32,13.7%,88092,1.3%,빅토르 | 나미 | 아우렐리온 솔 | 벡스 | 베이가
찬란한 타격대의 철퇴,S,4.18,-0.32,15.2%,30979,0.4%,카이사 | 우르곳 | 벡스 | 코르키 | 자야
찬란한 밤의 끝자락,S,4.18,-0.32,13.2%,27359,0.4%,마스터 이 | 리븐 | 아칼리 | 피오라 | 꼬마 정령
찬란한 수은,S,4.20,-0.30,12.7%,35119,0.5%,우르곳 | 벨베스 | 그레이브즈 | 마스터 이 | 피오라
찬란한 마법공학 총검,S,4.20,-0.30,13.4%,23294,0.3%,벡스 | 티모 | 르블랑 | 탈론 | 아우렐리온 솔
찬란한 이온 충격기,A,4.20,-0.30,11.9%,13206,0.2%,일라오이 | 누누와 윌럼프 | 블리츠크랭크 | 람머스 | 탐 켄치
찬란한 스테락의 도전,A,4.21,-0.29,14.7%,24118,0.4%,거대 메크 로봇 | 브라이어 | 피오라 | 그레이브즈 | 우르곳
찬란한 공허의 지팡이,A,4.23,-0.27,12.5%,33644,0.5%,나미 | 아우렐리온 솔 | 빅토르 | 벡스 | 카르마
찬란한 저녁갑주,A,4.24,-0.26,14.2%,22813,0.3%,누누와 윌럼프 | 마오카이 | 람머스 | 오른 | 렉사이
찬란한 도적의 장갑,A,4.25,-0.25,13.1%,105111,1.5%,블리츠크랭크 | 피오라 | 탈론 | 라아스트 | 리븐
찬란한 모렐로노미콘,A,4.26,-0.24,12.9%,12026,0.2%,카르마 | 나미 | 오로라 | 조이 | 바드
찬란한 쇼진의 창,A,4.26,-0.24,13.8%,51321,0.7%,나미 | 카르마 | 제드 | 사미라 | 오로라
찬란한 대천사의 지팡이,A,4.27,-0.23,11.6%,26332,0.4%,빅토르 | 아우렐리온 솔 | 벡스 | 오로라 | 트위스티드 페이트
찬란한 거인의 결의,A,4.27,-0.23,12.8%,27508,0.4%,리븐 | 브라이어 | 거대 메크 로봇 | 피오라 | 벨베스
찬란한 정의의 손길,A,4.28,-0.22,11.7%,34847,0.5%,아칼리 | 우르곳 | 리븐 | 피오라 | 꼬마 정령
찬란한 태양불꽃 망토,A,4.28,-0.22,12.4%,63981,0.9%,누누와 윌럼프 | 람머스 | 일라오이 | 마오카이 | 탐 켄치
찬란한 푸른 파수꾼,B,4.33,-0.17,12.2%,19267,0.3%,카이사 | 카르마 | 나미 | 오로라 | 코르키
찬란한 수호자의 맹세,B,4.35,-0.15,14.2%,50227,0.7%,누누와 윌럼프 | 람머스 | 마오카이 | 잭스 | 탐 켄치
찬란한 워모그의 갑옷,B,4.36,-0.14,11.9%,51930,0.8%,누누와 윌럼프 | 람머스 | 일라오이 | 레오나 | 오른
찬란한 피바라기,C,4.41,-0.09,11.8%,35306,0.5%,리븐 | 브라이어 | 피오라 | 그레이브즈 | 마스터 이
찬란한 크라운가드,C,4.41,-0.09,11.1%,16562,0.2%,누누와 윌럼프 | 잭스 | 람머스 | 오른 | 마오카이
찬란한 정령의 형상,C,4.42,-0.08,11.4%,50358,0.7%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 마오카이
찬란한 구인수의 격노검,C,4.43,-0.07,14.5%,131349,1.9%,자야 | 벡스 | 르블랑 | 티모 | 킨드레드
찬란한 굳건한 심장,C,4.46,-0.04,11.2%,18896,0.3%,누누와 윌럼프 | 람머스 | 일라오이 | 오른 | 레오나
찬란한 덤불 조끼,C,4.50,-0.00,9.7%,19318,0.3%,누누와 윌럼프 | 람머스 | 일라오이 | 오른 | 마오카이
찬란한 용의 발톱,D,4.53,+0.03,10.3%,32156,0.5%,누누와 윌럼프 | 일라오이 | 람머스 | 오른 | 탐 켄치
찬란한 적응형 투구,D,4.55,+0.05,11.0%,21164,0.3%,누누와 윌럼프 | 람머스 | 레오나 | 일라오이 | 잭스
