Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
찬란한 이온 충격기,S,3.53,-0.97,33.3%,15,0.0%,일라오이 | 누누와 윌럼프 | 블리츠크랭크 | 람머스 | 탐 켄치
찬란한 굳건한 심장,S,3.64,-0.86,21.4%,14,0.0%,누누와 윌럼프 | 람머스 | 일라오이 | 레오나 | 오른
찬란한 붉은 덩굴정령,S,3.70,-0.80,11.1%,27,0.1%,자야 | 벡스 | 나미 | 진 | 오로라
찬란한 모렐로노미콘,S,3.89,-0.61,33.3%,9,0.0%,오로라 | 카르마 | 나미 | 조이 | 바드
찬란한 푸른 파수꾼,S,3.90,-0.60,20.5%,39,0.1%,카이사 | 카르마 | 오로라 | 나미 | 코르키
찬란한 죽음의 검,S,3.92,-0.58,25.8%,120,0.3%,자야 | 진 | 우르곳 | 코르키 | 카이사
찬란한 덤불 조끼,S,4.05,-0.45,23.8%,21,0.0%,누누와 윌럼프 | 람머스 | 일라오이 | 오른 | 마오카이
찬란한 워모그의 갑옷,S,4.06,-0.44,17.9%,106,0.2%,누누와 윌럼프 | 레오나 | 일라오이 | 람머스 | 마오카이
찬란한 밤의 끝자락,S,4.12,-0.38,15.3%,85,0.2%,마스터 이 | 피오라 | 파이크 | 리븐 | 꼬마 정령
찬란한 무한의 대검,S,4.13,-0.38,19.5%,200,0.4%,우르곳 | 자야 | 카이사 | 진 | 사미라
찬란한 쇼진의 창,S,4.13,-0.37,23.8%,63,0.1%,나미 | 제드 | 카르마 | 오로라 | 사미라
찬란한 마법공학 총검,S,4.13,-0.37,25.6%,39,0.1%,벡스 | 티모 | 르블랑 | 탈론 | 트위스티드 페이트
찬란한 거인의 결의,S,4.19,-0.31,16.5%,79,0.2%,브라이어 | 리븐 | 거대 메크 로봇 | 피오라 | 마스터 이
찬란한 가고일 돌갑옷,S,4.20,-0.30,18.9%,492,1.1%,거대 메크 로봇 | 레오나 | 누누와 윌럼프 | 잭스 | 람머스
찬란한 최후의 속삭임,A,4.21,-0.29,15.4%,39,0.1%,자야 | 진 | 우르곳 | 코르키 | 사미라
찬란한 정의의 손길,A,4.23,-0.27,15.4%,65,0.1%,우르곳 | 피오라 | 마스터 이 | 꼬마 정령 | 리븐
찬란한 도적의 장갑,A,4.28,-0.22,12.9%,326,0.7%,블리츠크랭크 | 피오라 | 리븐 | 탈론 | 라아스트
찬란한 거인 학살자,A,4.28,-0.22,13.5%,451,1.0%,우르곳 | 벨베스 | 벡스 | 자야 | 티모
찬란한 내셔의 이빨,B,4.33,-0.17,11.0%,91,0.2%,트위스티드 페이트 | 나미 | 베이가 | 카르마 | 룰루
찬란한 라바돈의 죽음모자,B,4.36,-0.14,17.5%,120,0.3%,빅토르 | 트위스티드 페이트 | 아우렐리온 솔 | 벡스 | 티모
찬란한 스테락의 도전,B,4.38,-0.13,12.5%,104,0.2%,브라이어 | 거대 메크 로봇 | 피오라 | 리븐 | 우르곳
찬란한 대천사의 지팡이,C,4.41,-0.09,13.8%,29,0.1%,빅토르 | 아우렐리온 솔 | 오로라 | 트위스티드 페이트 | 벡스
찬란한 피바라기,D,4.51,+0.01,15.3%,59,0.1%,리븐 | 브라이어 | 피오라 | 마스터 이 | 그레이브즈
찬란한 태양불꽃 망토,D,4.52,+0.02,16.0%,25,0.1%,누누와 윌럼프 | 람머스 | 일라오이 | 마오카이 | 탐 켄치
찬란한 정령의 형상,D,4.58,+0.08,9.1%,55,0.1%,누누와 윌럼프 | 람머스 | 레오나 | 일라오이 | 탐 켄치
찬란한 적응형 투구,D,4.59,+0.09,18.2%,22,0.0%,누누와 윌럼프 | 람머스 | 레오나 | 잭스 | 일라오이
찬란한 보석 건틀릿,D,4.59,+0.09,13.3%,128,0.3%,빅토르 | 나미 | 아우렐리온 솔 | 벡스 | 베이가
찬란한 공허의 지팡이,D,4.61,+0.11,11.1%,36,0.1%,나미 | 빅토르 | 아우렐리온 솔 | 벡스 | 카르마
찬란한 수호자의 맹세,D,4.62,+0.12,10.0%,50,0.1%,누누와 윌럼프 | 람머스 | 마오카이 | 렉사이 | 잭스
찬란한 타격대의 철퇴,D,4.64,+0.14,11.5%,78,0.2%,카이사 | 우르곳 | 코르키 | 벡스 | 진
찬란한 구인수의 격노검,D,4.65,+0.15,14.7%,143,0.3%,자야 | 벡스 | 티모 | 르블랑 | 킨드레드
찬란한 크라운가드,D,4.69,+0.19,31.3%,16,0.0%,누누와 윌럼프 | 잭스 | 람머스 | 오른 | 마오카이
찬란한 수은,D,4.73,+0.23,13.4%,97,0.2%,우르곳 | 벨베스 | 마스터 이 | 그레이브즈 | 피오라
찬란한 저녁갑주,D,4.73,+0.23,20.0%,15,0.0%,누누와 윌럼프 | 마오카이 | 람머스 | 오른 | 렉사이
찬란한 크라켄의 분노,D,4.75,+0.25,6.9%,72,0.2%,자야 | 벨베스 | 킨드레드 | 케이틀린 | 그레이브즈
찬란한 용의 발톱,D,5.09,+0.59,9.1%,22,0.0%,누누와 윌럼프 | 일라오이 | 람머스 | 오른 | 거대 메크 로봇
