Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
일식,S,1.71,-2.79,75.0%,56,0.0%,일라오이 | 피오라 | 거대 메크 로봇 | 블리츠크랭크 | 누누와 윌럼프
광휘 역장,S,3.81,-0.69,30.2%,1521,1.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 피오라 | 탐 켄치
드론 업링크,C,4.12,-0.05,12.8%,8572,5.8%,빅토르 | 소나 | 마스터 이 | 카르마 | 아우렐리온 솔
공감 임플란트,C,4.38,-0.02,12.2%,5087,3.4%,빅토르 | 소나 | 카르마 | 아우렐리온 솔 | 마스터 이
얼음작렬 갑옷,C,3.60,-0.01,35.5%,1559,1.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 피오라 | 탐 켄치
표적 고정 광학 장치,C,4.29,-0.01,13.1%,3078,2.1%,파이크 | 마스터 이 | 빅토르 | 미스 포츈 | 소나
악성코드 매트릭스,C,4.34,-0.01,12.5%,3101,2.1%,파이크 | 마스터 이 | 빅토르 | 미스 포츈 | 라아스트
사자의 비가,C,3.75,-0.01,32.6%,1414,0.9%,일라오이 | 피오라 | 거대 메크 로봇 | 누누와 윌럼프 | 블리츠크랭크
유기물 보존기,C,4.50,-0.01,11.3%,3383,2.3%,일라오이 | 그라가스 | 라아스트 | 탐 켄치 | 마오카이
망가진 시제품,C,4.32,-0.01,18.4%,1928,1.3%,일라오이 | 거대 메크 로봇 | 꼬마 정령 | 누누와 윌럼프 | 블리츠크랭크
불꽃 튀는 시제품,C,4.30,-0.01,18.7%,1654,1.1%,징크스 | 피오라 | 르블랑 | 오로라 | 킨드레드
타오르는 단궁,C,4.14,-0.01,27.0%,1306,0.9%,오로라 | 징크스 | 벡스 | 아우렐리온 솔 | 피오라
전투 토끼 석궁,C,4.18,-0.01,28.5%,1306,0.9%,징크스 | 피오라 | 그레이브즈 | 진 | 킨드레드
회오리 칼날,C,3.98,-0.01,30.1%,1045,0.7%,피오라 | 다이애나 | 일라오이 | 오로라 | 블리츠크랭크
엉성한 시제품,C,4.32,-0.01,18.3%,1501,1.0%,오로라 | 르블랑 | 소나 | 카르마 | 징크스
촉수 후려치기,C,4.53,-0.01,19.3%,1673,1.1%,일라오이 | 거대 메크 로봇 | 탐 켄치 | 누누와 윌럼프 | 피오라
절멸자,C,4.45,-0.00,22.2%,1124,0.8%,오로라 | 피오라 | 징크스 | 르블랑 | 아우렐리온 솔
인도의 저주,C,4.68,-0.00,15.5%,1654,1.1%,오로라 | 르블랑 | 징크스 | 소나 | 카르마
메아리치는 박쥐칼날,C,4.49,-0.00,23.7%,790,0.5%,징크스 | 피오라 | 그레이브즈 | 진 | 킨드레드
진화한 불꽃 사격,C,1.86,-0.00,66.7%,90,0.1%,오로라 | 피오라 | 벡스 | 소나 | 진
포악한 절단검,C,4.77,-0.00,18.2%,876,0.6%,브라이어 | 피오라 | 다이애나 | 징크스 | 그레이브즈
완전 빙결,C,2.36,-0.00,66.7%,66,0.0%,일라오이 | 피오라 | 거대 메크 로봇 | 누누와 윌럼프 | 블리츠크랭크
사자의 비탄,C,1.65,-0.00,83.3%,48,0.0%,일라오이 | 피오라 | 거대 메크 로봇 | 누누와 윌럼프 | 블리츠크랭크
왕 귀여운 발사기,C,3.10,-0.00,47.1%,68,0.0%,징크스 | 피오라 | 그레이브즈 | 진 | 킨드레드
토끼 프라임 거대 석궁,C,2.77,-0.00,52.8%,53,0.0%,피오라 | 징크스 | 그레이브즈 | 진 | 오로라
그치지 않는 폭풍,C,3.15,-0.00,55.8%,52,0.0%,피오라 | 다이애나 | 일라오이 | 블리츠크랭크 | 오로라
동물의 종말,C,2.96,-0.00,60.9%,46,0.0%,피오라 | 오로라 | 벡스 | 징크스 | 모르가나
베인의 크로마칼날,C,3.15,-0.00,60.0%,40,0.0%,피오라 | 징크스 | 그레이브즈 | 진 | 킨드레드
만능 무기,C,1.00,-0.00,100.0%,9,0.0%,피오라 | 오로라 | 그레이브즈 | 소나 | 블리츠크랭크
로켓 연사,C,4.96,-0.00,13.2%,770,0.5%,징크스 | 오로라 | 킨드레드 | 피오라 | 그레이브즈
귀여운 발사기,C,5.00,-0.00,18.7%,804,0.5%,징크스 | 피오라 | 그레이브즈 | 진 | 킨드레드
공감 임플란트,D,4.62,+0.12,7.7%,840,0.6%,빅토르 | 소나 | 파이크 | 마스터 이 | 그라가스
악성코드 매트릭스,D,4.64,+0.14,7.3%,682,0.5%,마스터 이 | 파이크 | 소나 | 빅토르 | 그라가스
유기물 보존기,D,4.68,+0.18,7.2%,388,0.3%,그라가스 | 마스터 이 | 파이크 | 소나 | 라아스트
드론 업링크,D,4.69,+0.19,7.3%,1046,0.7%,빅토르 | 소나 | 마스터 이 | 파이크 | 그라가스
표적 고정 광학 장치,D,4.72,+0.22,5.7%,667,0.4%,마스터 이 | 파이크 | 소나 | 빅토르 | 그라가스
