Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
일식,S,1.75,-2.75,73.2%,228,0.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 피오라
광휘 역장,S,3.84,-0.66,30.3%,5283,1.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 탐 켄치 | 람머스
드론 업링크,C,4.10,-0.05,13.2%,29977,5.6%,빅토르 | 소나 | 아우렐리온 솔 | 카르마 | 나미
공감 임플란트,C,4.34,-0.02,11.9%,18311,3.4%,빅토르 | 소나 | 나미 | 카르마 | 아우렐리온 솔
표적 고정 광학 장치,C,4.26,-0.01,12.4%,10525,2.0%,파이크 | 마스터 이 | 피오라 | 그레이브즈 | 우르곳
악성코드 매트릭스,C,4.36,-0.01,12.3%,10256,1.9%,마스터 이 | 파이크 | 피오라 | 그레이브즈 | 우르곳
유기물 보존기,C,4.44,-0.01,11.3%,11580,2.2%,일라오이 | 탐 켄치 | 라아스트 | 거대 메크 로봇 | 마오카이
얼음작렬 갑옷,C,3.84,-0.01,32.9%,5328,1.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 탐 켄치 | 람머스
사자의 비가,C,3.83,-0.01,31.1%,5047,1.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 탐 켄치 | 람머스
망가진 시제품,C,4.19,-0.01,20.6%,5715,1.1%,일라오이 | 꼬마 정령 | 탐 켄치 | 누누와 윌럼프 | 거대 메크 로봇
타오르는 단궁,C,4.03,-0.01,28.4%,4591,0.9%,오로라 | 아우렐리온 솔 | 벡스 | 카르마 | 르블랑
전투 토끼 석궁,C,4.10,-0.01,29.0%,4672,0.9%,징크스 | 그레이브즈 | 피오라 | 자야 | 우르곳
불꽃 튀는 시제품,C,4.22,-0.01,20.8%,4857,0.9%,르블랑 | 징크스 | 피오라 | 카르마 | 그레이브즈
엉성한 시제품,C,4.21,-0.01,20.3%,4407,0.8%,르블랑 | 카르마 | 오로라 | 소나 | 모르가나
회오리 칼날,C,4.08,-0.01,29.6%,3497,0.7%,피오라 | 다이애나 | 일라오이 | 블리츠크랭크 | 거대 메크 로봇
절멸자,C,4.46,-0.00,23.6%,3776,0.7%,오로라 | 아우렐리온 솔 | 피오라 | 벡스 | 빅토르
촉수 후려치기,C,4.63,-0.00,17.6%,5314,1.0%,일라오이 | 탐 켄치 | 거대 메크 로봇 | 누누와 윌럼프 | 람머스
메아리치는 박쥐칼날,C,4.37,-0.00,26.5%,2938,0.6%,피오라 | 징크스 | 그레이브즈 | 우르곳 | 마스터 이
진화한 불꽃 사격,C,1.66,-0.00,78.1%,424,0.1%,오로라 | 아우렐리온 솔 | 벡스 | 소나 | 피오라
인도의 저주,C,4.72,-0.00,16.3%,5099,1.0%,오로라 | 카르마 | 아우렐리온 솔 | 바드 | 벡스
귀여운 발사기,C,4.72,-0.00,22.0%,2845,0.5%,징크스 | 피오라 | 그레이브즈 | 우르곳 | 킨드레드
사자의 비탄,C,1.82,-0.00,73.1%,223,0.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 피오라 | 람머스
왕 귀여운 발사기,C,2.89,-0.00,53.8%,292,0.1%,징크스 | 피오라 | 그레이브즈 | 킨드레드 | 벡스
완전 빙결,C,2.54,-0.00,62.8%,218,0.0%,일라오이 | 거대 메크 로봇 | 피오라 | 누누와 윌럼프 | 람머스
동물의 종말,C,2.76,-0.00,55.3%,235,0.0%,오로라 | 피오라 | 아우렐리온 솔 | 벡스 | 그레이브즈
그치지 않는 폭풍,C,2.60,-0.00,61.2%,214,0.0%,피오라 | 다이애나 | 일라오이 | 거대 메크 로봇 | 블리츠크랭크
토끼 프라임 거대 석궁,C,2.65,-0.00,58.9%,197,0.0%,피오라 | 그레이브즈 | 징크스 | 오로라 | 킨드레드
베인의 크로마칼날,C,2.73,-0.00,57.0%,200,0.0%,피오라 | 그레이브즈 | 징크스 | 마스터 이 | 킨드레드
로켓 연사,C,4.82,-0.00,15.9%,2492,0.5%,징크스 | 그레이브즈 | 피오라 | 우르곳 | 카르마
포악한 절단검,C,4.88,-0.00,16.0%,2957,0.6%,피오라 | 우르곳 | 마스터 이 | 그레이브즈 | 브라이어
만능 무기,C,1.00,-0.00,100.0%,23,0.0%,피오라 | 일라오이 | 오로라 | 징크스 | 바드
공감 임플란트,D,4.65,+0.15,7.8%,3314,0.6%,빅토르 | 소나 | 파이크 | 마스터 이 | 아우렐리온 솔
표적 고정 광학 장치,D,4.66,+0.16,7.1%,2788,0.5%,마스터 이 | 파이크 | 소나 | 피오라 | 그레이브즈
악성코드 매트릭스,D,4.73,+0.23,6.9%,2538,0.5%,마스터 이 | 파이크 | 소나 | 피오라 | 그레이브즈
드론 업링크,D,4.80,+0.30,6.6%,3914,0.7%,빅토르 | 소나 | 마스터 이 | 파이크 | 아우렐리온 솔
유기물 보존기,D,4.86,+0.36,5.8%,1475,0.3%,그라가스 | 일라오이 | 마스터 이 | 라아스트 | 탐 켄치
