Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
일식,S,1.72,-2.78,75.5%,1226,0.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 피오라 | 람머스
광휘 역장,S,3.92,-0.58,29.6%,27166,1.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 탐 켄치 | 람머스
드론 업링크,C,4.09,-0.05,13.2%,152535,5.5%,빅토르 | 소나 | 카르마 | 아우렐리온 솔 | 나미
공감 임플란트,C,4.33,-0.02,11.8%,89028,3.2%,빅토르 | 소나 | 나미 | 카르마 | 아우렐리온 솔
표적 고정 광학 장치,C,4.27,-0.01,12.5%,52261,1.9%,파이크 | 마스터 이 | 피오라 | 그레이브즈 | 우르곳
전투 토끼 석궁,C,3.84,-0.01,34.6%,30112,1.1%,징크스 | 자야 | 그레이브즈 | 피오라 | 우르곳
유기물 보존기,C,4.42,-0.01,11.7%,56832,2.1%,일라오이 | 라아스트 | 탐 켄치 | 거대 메크 로봇 | 그라가스
악성코드 매트릭스,C,4.34,-0.01,12.4%,50498,1.8%,파이크 | 마스터 이 | 피오라 | 그레이브즈 | 우르곳
얼음작렬 갑옷,C,3.88,-0.01,32.9%,27983,1.0%,거대 메크 로봇 | 일라오이 | 누누와 윌럼프 | 람머스 | 탐 켄치
사자의 비가,C,3.90,-0.01,31.4%,26272,1.0%,거대 메크 로봇 | 일라오이 | 누누와 윌럼프 | 람머스 | 탐 켄치
망가진 시제품,C,4.23,-0.01,20.4%,27693,1.0%,일라오이 | 누누와 윌럼프 | 꼬마 정령 | 탐 켄치 | 거대 메크 로봇
타오르는 단궁,C,4.16,-0.01,27.4%,24158,0.9%,오로라 | 아우렐리온 솔 | 벡스 | 카르마 | 나미
불꽃 튀는 시제품,C,4.23,-0.01,20.4%,24625,0.9%,르블랑 | 징크스 | 피오라 | 그레이브즈 | 마스터 이
엉성한 시제품,C,4.21,-0.01,20.4%,21491,0.8%,르블랑 | 카르마 | 오로라 | 소나 | 모르가나
회오리 칼날,C,4.12,-0.01,30.0%,18710,0.7%,피오라 | 다이애나 | 거대 메크 로봇 | 일라오이 | 블리츠크랭크
메아리치는 박쥐칼날,C,4.32,-0.00,27.5%,17408,0.6%,피오라 | 자야 | 그레이브즈 | 징크스 | 우르곳
절멸자,C,4.54,-0.00,22.8%,19887,0.7%,오로라 | 아우렐리온 솔 | 피오라 | 벡스 | 빅토르
촉수 후려치기,C,4.67,-0.00,17.9%,26937,1.0%,일라오이 | 탐 켄치 | 거대 메크 로봇 | 누누와 윌럼프 | 람머스
진화한 불꽃 사격,C,1.63,-0.00,77.8%,2157,0.1%,오로라 | 아우렐리온 솔 | 벡스 | 소나 | 피오라
인도의 저주,C,4.73,-0.00,16.8%,25686,0.9%,오로라 | 아우렐리온 솔 | 카르마 | 바드 | 벡스
귀여운 발사기,C,4.72,-0.00,22.2%,16078,0.6%,징크스 | 자야 | 피오라 | 그레이브즈 | 우르곳
왕 귀여운 발사기,C,2.66,-0.00,54.4%,1602,0.1%,징크스 | 피오라 | 그레이브즈 | 자야 | 킨드레드
사자의 비탄,C,1.89,-0.00,74.4%,1135,0.0%,일라오이 | 거대 메크 로봇 | 피오라 | 누누와 윌럼프 | 람머스
완전 빙결,C,2.42,-0.00,65.7%,1187,0.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 피오라 | 람머스
동물의 종말,C,2.48,-0.00,61.1%,1146,0.0%,오로라 | 피오라 | 아우렐리온 솔 | 벡스 | 그레이브즈
토끼 프라임 거대 석궁,C,2.44,-0.00,63.6%,1059,0.0%,피오라 | 그레이브즈 | 징크스 | 자야 | 오로라
그치지 않는 폭풍,C,2.50,-0.00,63.2%,1072,0.0%,피오라 | 다이애나 | 거대 메크 로봇 | 일라오이 | 블리츠크랭크
로켓 연사,C,4.82,-0.00,16.9%,13110,0.5%,징크스 | 그레이브즈 | 피오라 | 우르곳 | 진
베인의 크로마칼날,C,2.81,-0.00,57.6%,972,0.0%,피오라 | 그레이브즈 | 징크스 | 자야 | 마스터 이
포악한 절단검,C,4.88,-0.00,16.4%,14955,0.5%,피오라 | 마스터 이 | 우르곳 | 그레이브즈 | 브라이어
만능 무기,C,1.03,-0.00,98.7%,155,0.0%,피오라 | 그레이브즈 | 일라오이 | 아우렐리온 솔 | 벡스
공감 임플란트,D,4.63,+0.13,7.9%,17844,0.6%,빅토르 | 소나 | 파이크 | 마스터 이 | 아우렐리온 솔
표적 고정 광학 장치,D,4.63,+0.13,7.5%,15111,0.5%,마스터 이 | 파이크 | 소나 | 피오라 | 우르곳
악성코드 매트릭스,D,4.68,+0.18,7.2%,13754,0.5%,마스터 이 | 파이크 | 소나 | 피오라 | 그레이브즈
드론 업링크,D,4.77,+0.27,6.7%,21371,0.8%,빅토르 | 소나 | 마스터 이 | 파이크 | 아우렐리온 솔
유기물 보존기,D,4.89,+0.39,5.6%,7995,0.3%,그라가스 | 일라오이 | 마스터 이 | 라아스트 | 탐 켄치
