Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
일식,S,1.71,-2.79,77.8%,2291,0.0%,거대 메크 로봇 | 일라오이 | 누누와 윌럼프 | 람머스 | 탐 켄치
광휘 역장,A,4.25,-0.25,27.4%,60533,1.0%,거대 메크 로봇 | 누누와 윌럼프 | 일라오이 | 람머스 | 탐 켄치
드론 업링크,C,4.01,-0.05,13.5%,288230,5.0%,빅토르 | 소나 | 카르마 | 나미 | 바드
전투 토끼 석궁,C,3.07,-0.04,48.4%,130229,2.2%,자야 | 그레이브즈 | 징크스 | 우르곳 | 피오라
공감 임플란트,C,4.26,-0.02,12.2%,163818,2.8%,빅토르 | 소나 | 나미 | 카르마 | 바드
표적 고정 광학 장치,C,4.20,-0.01,12.9%,96116,1.7%,파이크 | 마스터 이 | 피오라 | 우르곳 | 소나
유기물 보존기,C,4.36,-0.01,11.8%,103763,1.8%,일라오이 | 탐 켄치 | 라아스트 | 누누와 윌럼프 | 그라가스
악성코드 매트릭스,C,4.30,-0.01,12.4%,92159,1.6%,파이크 | 마스터 이 | 피오라 | 우르곳 | 그레이브즈
얼음작렬 갑옷,C,4.21,-0.01,29.8%,60753,1.0%,거대 메크 로봇 | 누누와 윌럼프 | 일라오이 | 람머스 | 탐 켄치
사자의 비가,C,4.21,-0.01,28.4%,56146,1.0%,거대 메크 로봇 | 누누와 윌럼프 | 일라오이 | 람머스 | 탐 켄치
메아리치는 박쥐칼날,C,4.37,-0.01,26.5%,54099,0.9%,자야 | 피오라 | 그레이브즈 | 우르곳 | 킨드레드
망가진 시제품,C,4.42,-0.00,19.8%,49380,0.8%,일라오이 | 누누와 윌럼프 | 탐 켄치 | 람머스 | 거대 메크 로봇
불꽃 튀는 시제품,C,4.47,-0.00,19.1%,43834,0.8%,진 | 징크스 | 르블랑 | 피오라 | 자야
회오리 칼날,C,4.50,-0.00,26.9%,40779,0.7%,피오라 | 거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 블리츠크랭크
엉성한 시제품,C,4.43,-0.00,19.3%,35672,0.6%,카르마 | 오로라 | 바드 | 소나 | 블리츠크랭크
타오르는 단궁,C,4.68,-0.00,22.5%,50293,0.9%,아우렐리온 솔 | 오로라 | 벡스 | 자야 | 바드
진화한 불꽃 사격,C,1.72,-0.00,77.0%,3559,0.1%,오로라 | 아우렐리온 솔 | 벡스 | 자야 | 소나
촉수 후려치기,C,4.81,-0.00,18.4%,56121,1.0%,일라오이 | 누누와 윌럼프 | 람머스 | 탐 켄치 | 거대 메크 로봇
왕 귀여운 발사기,C,2.55,-0.00,58.2%,3108,0.1%,징크스 | 자야 | 그레이브즈 | 피오라 | 진
토끼 프라임 거대 석궁,C,2.11,-0.00,71.9%,2165,0.0%,자야 | 그레이브즈 | 피오라 | 징크스 | 진
사자의 비탄,C,1.90,-0.00,74.4%,1990,0.0%,거대 메크 로봇 | 누누와 윌럼프 | 일라오이 | 람머스 | 피오라
인도의 저주,C,4.88,-0.00,16.8%,49188,0.8%,오로라 | 바드 | 카르마 | 아우렐리온 솔 | 나미
귀여운 발사기,C,4.88,-0.00,20.4%,48547,0.8%,자야 | 그레이브즈 | 우르곳 | 피오라 | 징크스
완전 빙결,C,2.44,-0.00,66.0%,2119,0.0%,거대 메크 로봇 | 누누와 윌럼프 | 일라오이 | 람머스 | 탐 켄치
동물의 종말,C,2.58,-0.00,61.1%,1840,0.0%,오로라 | 아우렐리온 솔 | 피오라 | 자야 | 벡스
그치지 않는 폭풍,C,2.66,-0.00,61.5%,1842,0.0%,피오라 | 거대 메크 로봇 | 블리츠크랭크 | 일라오이 | 누누와 윌럼프
베인의 크로마칼날,C,2.80,-0.00,57.1%,1853,0.0%,자야 | 피오라 | 그레이브즈 | 진 | 징크스
절멸자,C,4.96,-0.00,19.1%,41983,0.7%,아우렐리온 솔 | 자야 | 오로라 | 진 | 벡스
만능 무기,C,1.01,-0.00,99.2%,266,0.0%,피오라 | 그레이브즈 | 거대 메크 로봇 | 모르가나 | 오로라
포악한 절단검,D,5.02,+0.00,16.1%,33837,0.6%,피오라 | 우르곳 | 진 | 그레이브즈 | 마스터 이
로켓 연사,D,5.12,+0.00,15.3%,31511,0.5%,자야 | 진 | 징크스 | 우르곳 | 그레이브즈
표적 고정 광학 장치,D,4.60,+0.10,7.2%,32516,0.6%,파이크 | 마스터 이 | 소나 | 피오라 | 그레이브즈
공감 임플란트,D,4.60,+0.10,7.8%,37391,0.6%,빅토르 | 소나 | 파이크 | 카르마 | 마스터 이
악성코드 매트릭스,D,4.67,+0.17,6.9%,29546,0.5%,마스터 이 | 파이크 | 피오라 | 소나 | 그레이브즈
드론 업링크,D,4.74,+0.24,6.3%,46166,0.8%,빅토르 | 소나 | 마스터 이 | 파이크 | 아우렐리온 솔
유기물 보존기,D,4.87,+0.37,5.6%,17746,0.3%,그라가스 | 일라오이 | 라아스트 | 탐 켄치 | 마스터 이
