Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
일식,S,1.73,-2.77,76.8%,2431,0.0%,거대 메크 로봇 | 누누와 윌럼프 | 일라오이 | 람머스 | 피오라
광휘 역장,A,4.29,-0.21,27.0%,65130,1.0%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치
드론 업링크,C,4.00,-0.05,13.6%,308180,4.9%,빅토르 | 소나 | 카르마 | 나미 | 바드
전투 토끼 석궁,C,3.02,-0.05,49.4%,148958,2.3%,자야 | 그레이브즈 | 징크스 | 우르곳 | 피오라
공감 임플란트,C,4.25,-0.02,12.2%,174670,2.8%,빅토르 | 소나 | 나미 | 카르마 | 바드
표적 고정 광학 장치,C,4.20,-0.01,12.7%,102563,1.6%,파이크 | 마스터 이 | 피오라 | 우르곳 | 소나
유기물 보존기,C,4.35,-0.01,11.8%,110617,1.7%,일라오이 | 탐 켄치 | 라아스트 | 누누와 윌럼프 | 그라가스
악성코드 매트릭스,C,4.30,-0.01,12.2%,98125,1.5%,파이크 | 마스터 이 | 피오라 | 그레이브즈 | 소나
얼음작렬 갑옷,C,4.26,-0.01,29.4%,65773,1.0%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치
사자의 비가,C,4.25,-0.01,28.1%,60270,0.9%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치
메아리치는 박쥐칼날,C,4.38,-0.01,26.3%,61023,1.0%,자야 | 피오라 | 그레이브즈 | 우르곳 | 킨드레드
망가진 시제품,C,4.46,-0.00,19.4%,52024,0.8%,누누와 윌럼프 | 일라오이 | 탐 켄치 | 람머스 | 라아스트
불꽃 튀는 시제품,C,4.51,-0.00,18.7%,45578,0.7%,진 | 징크스 | 피오라 | 르블랑 | 오로라
엉성한 시제품,C,4.47,-0.00,18.9%,36895,0.6%,카르마 | 오로라 | 바드 | 소나 | 블리츠크랭크
회오리 칼날,C,4.56,-0.00,26.3%,44226,0.7%,피오라 | 거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 블리츠크랭크
타오르는 단궁,C,4.74,-0.00,22.1%,53260,0.8%,아우렐리온 솔 | 오로라 | 자야 | 벡스 | 바드
진화한 불꽃 사격,C,1.77,-0.00,77.1%,3695,0.1%,오로라 | 아우렐리온 솔 | 벡스 | 자야 | 소나
촉수 후려치기,C,4.81,-0.00,18.6%,60027,0.9%,일라오이 | 누누와 윌럼프 | 람머스 | 탐 켄치 | 거대 메크 로봇
왕 귀여운 발사기,C,2.53,-0.00,59.1%,3276,0.1%,자야 | 징크스 | 그레이브즈 | 피오라 | 진
토끼 프라임 거대 석궁,C,2.03,-0.00,73.1%,2420,0.0%,자야 | 그레이브즈 | 피오라 | 징크스 | 오로라
사자의 비탄,C,1.88,-0.00,75.0%,2115,0.0%,거대 메크 로봇 | 누누와 윌럼프 | 일라오이 | 람머스 | 피오라
완전 빙결,C,2.46,-0.00,66.0%,2219,0.0%,거대 메크 로봇 | 누누와 윌럼프 | 일라오이 | 람머스 | 탐 켄치
귀여운 발사기,C,4.90,-0.00,20.0%,53773,0.8%,자야 | 그레이브즈 | 우르곳 | 피오라 | 진
인도의 저주,C,4.90,-0.00,17.0%,52481,0.8%,오로라 | 바드 | 카르마 | 아우렐리온 솔 | 나미
동물의 종말,C,2.71,-0.00,59.4%,1920,0.0%,아우렐리온 솔 | 오로라 | 자야 | 피오라 | 벡스
베인의 크로마칼날,C,2.81,-0.00,57.9%,1977,0.0%,자야 | 피오라 | 그레이브즈 | 진 | 우르곳
그치지 않는 폭풍,C,2.76,-0.00,60.8%,1924,0.0%,피오라 | 거대 메크 로봇 | 람머스 | 블리츠크랭크 | 누누와 윌럼프
만능 무기,C,1.00,-0.00,99.6%,275,0.0%,피오라 | 소나 | 그레이브즈 | 블리츠크랭크 | 진
절멸자,D,5.02,+0.00,18.6%,44937,0.7%,아우렐리온 솔 | 자야 | 오로라 | 진 | 벡스
포악한 절단검,D,5.04,+0.00,16.1%,36615,0.6%,피오라 | 우르곳 | 진 | 마스터 이 | 그레이브즈
로켓 연사,D,5.14,+0.00,15.4%,33625,0.5%,자야 | 진 | 징크스 | 그레이브즈 | 우르곳
표적 고정 광학 장치,D,4.59,+0.09,7.4%,35873,0.6%,파이크 | 마스터 이 | 소나 | 피오라 | 그레이브즈
공감 임플란트,D,4.60,+0.10,7.9%,40677,0.6%,빅토르 | 소나 | 파이크 | 마스터 이 | 카르마
악성코드 매트릭스,D,4.67,+0.17,6.8%,31863,0.5%,마스터 이 | 파이크 | 피오라 | 소나 | 그레이브즈
드론 업링크,D,4.74,+0.24,6.3%,50084,0.8%,빅토르 | 소나 | 마스터 이 | 파이크 | 아우렐리온 솔
유기물 보존기,D,4.87,+0.37,5.5%,19412,0.3%,그라가스 | 일라오이 | 라아스트 | 탐 켄치 | 마스터 이
