Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
일식,S,1.65,-2.85,77.9%,2570,0.0%,누누와 윌럼프 | 거대 메크 로봇 | 일라오이 | 람머스 | 피오라
광휘 역장,B,4.33,-0.17,26.8%,69039,1.0%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치
전투 토끼 석궁,C,2.97,-0.05,50.2%,168253,2.4%,자야 | 그레이브즈 | 징크스 | 우르곳 | 피오라
드론 업링크,C,3.99,-0.05,13.6%,328872,4.8%,빅토르 | 소나 | 카르마 | 나미 | 바드
공감 임플란트,C,4.25,-0.02,12.1%,185428,2.7%,빅토르 | 소나 | 나미 | 카르마 | 바드
표적 고정 광학 장치,C,4.21,-0.01,12.5%,109793,1.6%,파이크 | 마스터 이 | 피오라 | 킨드레드 | 우르곳
유기물 보존기,C,4.36,-0.01,11.6%,117519,1.7%,일라오이 | 탐 켄치 | 라아스트 | 누누와 윌럼프 | 그라가스
악성코드 매트릭스,C,4.30,-0.01,12.1%,104975,1.5%,파이크 | 마스터 이 | 피오라 | 킨드레드 | 그레이브즈
얼음작렬 갑옷,C,4.29,-0.01,29.2%,70263,1.0%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치
사자의 비가,C,4.29,-0.01,27.9%,64181,0.9%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치
메아리치는 박쥐칼날,C,4.39,-0.01,26.3%,67831,1.0%,자야 | 그레이브즈 | 피오라 | 우르곳 | 진
망가진 시제품,C,4.46,-0.00,19.7%,54643,0.8%,누누와 윌럼프 | 일라오이 | 탐 켄치 | 람머스 | 라아스트
불꽃 튀는 시제품,C,4.52,-0.00,18.7%,47550,0.7%,진 | 징크스 | 피오라 | 자야 | 르블랑
엉성한 시제품,C,4.49,-0.00,18.9%,38348,0.6%,오로라 | 카르마 | 바드 | 소나 | 블리츠크랭크
회오리 칼날,C,4.60,-0.00,25.9%,47273,0.7%,피오라 | 거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 블리츠크랭크
진화한 불꽃 사격,C,1.82,-0.00,76.2%,3838,0.1%,오로라 | 아우렐리온 솔 | 벡스 | 자야 | 바드
촉수 후려치기,C,4.82,-0.00,18.7%,63728,0.9%,일라오이 | 누누와 윌럼프 | 람머스 | 탐 켄치 | 거대 메크 로봇
타오르는 단궁,C,4.79,-0.00,21.7%,55942,0.8%,아우렐리온 솔 | 오로라 | 자야 | 벡스 | 바드
왕 귀여운 발사기,C,2.50,-0.00,59.7%,3443,0.1%,자야 | 징크스 | 피오라 | 그레이브즈 | 진
토끼 프라임 거대 석궁,C,1.95,-0.00,75.5%,2659,0.0%,자야 | 그레이브즈 | 피오라 | 징크스 | 벡스
사자의 비탄,C,1.89,-0.00,75.5%,2221,0.0%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 피오라
인도의 저주,C,4.88,-0.00,17.4%,55148,0.8%,오로라 | 바드 | 카르마 | 아우렐리온 솔 | 벡스
완전 빙결,C,2.53,-0.00,64.6%,2338,0.0%,거대 메크 로봇 | 누누와 윌럼프 | 일라오이 | 람머스 | 피오라
귀여운 발사기,C,4.91,-0.00,20.1%,58778,0.9%,자야 | 우르곳 | 그레이브즈 | 피오라 | 진
동물의 종말,C,2.76,-0.00,58.4%,2055,0.0%,아우렐리온 솔 | 오로라 | 자야 | 피오라 | 벡스
베인의 크로마칼날,C,2.85,-0.00,56.8%,2135,0.0%,자야 | 피오라 | 그레이브즈 | 진 | 징크스
그치지 않는 폭풍,C,2.82,-0.00,59.2%,2061,0.0%,피오라 | 거대 메크 로봇 | 람머스 | 블리츠크랭크 | 누누와 윌럼프
만능 무기,C,1.01,-0.00,99.3%,306,0.0%,피오라 | 그레이브즈 | 블리츠크랭크 | 소나 | 모르가나
포악한 절단검,D,5.05,+0.00,16.3%,38970,0.6%,피오라 | 우르곳 | 진 | 마스터 이 | 그레이브즈
절멸자,D,5.05,+0.00,18.4%,47504,0.7%,아우렐리온 솔 | 자야 | 오로라 | 진 | 벡스
로켓 연사,D,5.17,+0.00,15.3%,35907,0.5%,자야 | 진 | 징크스 | 그레이브즈 | 우르곳
표적 고정 광학 장치,D,4.60,+0.10,7.1%,38867,0.6%,파이크 | 마스터 이 | 피오라 | 소나 | 우르곳
공감 임플란트,D,4.62,+0.12,7.5%,44077,0.6%,빅토르 | 소나 | 파이크 | 마스터 이 | 카르마
악성코드 매트릭스,D,4.67,+0.17,6.8%,34525,0.5%,마스터 이 | 파이크 | 소나 | 피오라 | 그레이브즈
드론 업링크,D,4.74,+0.24,6.2%,54382,0.8%,빅토르 | 소나 | 마스터 이 | 파이크 | 아우렐리온 솔
유기물 보존기,D,4.87,+0.37,5.4%,21452,0.3%,그라가스 | 일라오이 | 라아스트 | 탐 켄치 | 마스터 이
