Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
일식,S,1.61,-2.89,80.4%,2744,0.0%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 일라오이 | 탐 켄치
광휘 역장,B,4.38,-0.12,26.5%,74140,1.0%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치
전투 토끼 석궁,C,2.89,-0.06,51.6%,204306,2.7%,자야 | 그레이브즈 | 징크스 | 우르곳 | 킨드레드
드론 업링크,C,3.99,-0.05,13.5%,359192,4.7%,빅토르 | 소나 | 카르마 | 나미 | 바드
공감 임플란트,C,4.25,-0.02,11.8%,202521,2.7%,빅토르 | 소나 | 나미 | 카르마 | 바드
표적 고정 광학 장치,C,4.20,-0.01,12.3%,123379,1.6%,파이크 | 마스터 이 | 킨드레드 | 피오라 | 우르곳
악성코드 매트릭스,C,4.30,-0.01,11.8%,117386,1.5%,파이크 | 마스터 이 | 피오라 | 킨드레드 | 소나
유기물 보존기,C,4.37,-0.01,11.2%,129140,1.7%,일라오이 | 탐 켄치 | 라아스트 | 그라가스 | 누누와 윌럼프
얼음작렬 갑옷,C,4.36,-0.01,28.6%,75956,1.0%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치
사자의 비가,C,4.35,-0.01,27.5%,69390,0.9%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치
메아리치는 박쥐칼날,C,4.42,-0.01,26.0%,76851,1.0%,자야 | 그레이브즈 | 피오라 | 우르곳 | 진
망가진 시제품,C,4.48,-0.00,19.9%,58170,0.8%,누누와 윌럼프 | 일라오이 | 탐 켄치 | 람머스 | 라아스트
불꽃 튀는 시제품,C,4.54,-0.00,19.1%,50200,0.7%,진 | 징크스 | 자야 | 피오라 | 오로라
엉성한 시제품,C,4.49,-0.00,19.3%,40398,0.5%,오로라 | 카르마 | 바드 | 소나 | 블리츠크랭크
회오리 칼날,C,4.66,-0.00,25.5%,52151,0.7%,피오라 | 누누와 윌럼프 | 람머스 | 거대 메크 로봇 | 블리츠크랭크
촉수 후려치기,C,4.79,-0.00,19.4%,69236,0.9%,일라오이 | 누누와 윌럼프 | 람머스 | 탐 켄치 | 거대 메크 로봇
진화한 불꽃 사격,C,1.82,-0.00,76.7%,4156,0.1%,오로라 | 아우렐리온 솔 | 벡스 | 자야 | 바드
왕 귀여운 발사기,C,2.52,-0.00,60.1%,3815,0.0%,자야 | 징크스 | 그레이브즈 | 피오라 | 진
토끼 프라임 거대 석궁,C,1.91,-0.00,76.5%,2990,0.0%,자야 | 그레이브즈 | 피오라 | 징크스 | 벡스
사자의 비탄,C,1.86,-0.00,77.0%,2468,0.0%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 피오라
타오르는 단궁,C,4.88,-0.00,20.9%,60604,0.8%,아우렐리온 솔 | 자야 | 오로라 | 바드 | 벡스
완전 빙결,C,2.52,-0.00,65.5%,2605,0.0%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 일라오이 | 피오라
인도의 저주,C,4.90,-0.00,17.5%,59166,0.8%,오로라 | 바드 | 카르마 | 아우렐리온 솔 | 벡스
베인의 크로마칼날,C,2.75,-0.00,57.6%,2434,0.0%,자야 | 피오라 | 그레이브즈 | 진 | 벡스
그치지 않는 폭풍,C,2.71,-0.00,59.4%,2348,0.0%,피오라 | 거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 블리츠크랭크
동물의 종말,C,2.70,-0.00,60.2%,2219,0.0%,아우렐리온 솔 | 피오라 | 오로라 | 자야 | 벡스
귀여운 발사기,C,4.94,-0.00,20.0%,65716,0.9%,자야 | 그레이브즈 | 우르곳 | 진 | 피오라
만능 무기,C,1.02,-0.00,98.3%,361,0.0%,피오라 | 그레이브즈 | 블리츠크랭크 | 누누와 윌럼프 | 쉔
포악한 절단검,D,5.05,+0.00,16.6%,42492,0.6%,피오라 | 우르곳 | 진 | 자야 | 그레이브즈
절멸자,D,5.11,+0.00,18.4%,51688,0.7%,자야 | 아우렐리온 솔 | 진 | 오로라 | 바드
로켓 연사,D,5.16,+0.00,15.6%,38865,0.5%,자야 | 진 | 징크스 | 그레이브즈 | 우르곳
표적 고정 광학 장치,D,4.61,+0.11,7.1%,43515,0.6%,파이크 | 마스터 이 | 피오라 | 소나 | 우르곳
공감 임플란트,D,4.64,+0.14,7.2%,49630,0.6%,빅토르 | 소나 | 파이크 | 마스터 이 | 카르마
악성코드 매트릭스,D,4.67,+0.17,6.8%,39084,0.5%,마스터 이 | 파이크 | 소나 | 피오라 | 그레이브즈
드론 업링크,D,4.75,+0.25,6.2%,61252,0.8%,빅토르 | 소나 | 마스터 이 | 파이크 | 카르마
유기물 보존기,D,4.90,+0.40,5.1%,24207,0.3%,그라가스 | 일라오이 | 라아스트 | 마스터 이 | 탐 켄치
