Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
일식,S,1.00,-3.50,100.0%,3,0.0%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 일라오이 | 피오라
광휘 역장,S,3.52,-0.98,35.8%,151,0.3%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치
공감 임플란트,B,4.38,-0.12,10.7%,336,0.7%,빅토르 | 소나 | 그라가스 | 파이크 | 마스터 이
악성코드 매트릭스,C,4.46,-0.04,10.4%,222,0.5%,마스터 이 | 파이크 | 소나 | 피오라 | 그레이브즈
표적 고정 광학 장치,C,4.23,-0.02,12.4%,1281,2.8%,파이크 | 마스터 이 | 킨드레드 | 피오라 | 우르곳
악성코드 매트릭스,C,4.32,-0.02,11.9%,1185,2.5%,마스터 이 | 파이크 | 피오라 | 킨드레드 | 우르곳
드론 업링크,C,4.51,-0.02,10.2%,1539,3.3%,빅토르 | 소나 | 카르마 | 나미 | 킨드레드
유기물 보존기,C,4.37,-0.02,12.2%,1145,2.5%,일라오이 | 탐 켄치 | 마오카이 | 라아스트 | 그라가스
전투 토끼 석궁,C,3.42,-0.01,41.1%,370,0.8%,자야 | 그레이브즈 | 징크스 | 우르곳 | 킨드레드
공감 임플란트,C,4.60,-0.01,9.3%,1228,2.6%,빅토르 | 소나 | 나미 | 카르마 | 바드
얼음작렬 갑옷,C,2.94,-0.01,49.1%,171,0.4%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치
사자의 비가,C,3.07,-0.01,42.8%,166,0.4%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치
불꽃 튀는 시제품,C,4.29,-0.00,17.0%,305,0.7%,진 | 징크스 | 르블랑 | 오로라 | 피오라
메아리치는 박쥐칼날,C,3.57,-0.00,36.8%,136,0.3%,자야 | 피오라 | 그레이브즈 | 우르곳 | 진
절멸자,C,4.02,-0.00,34.6%,136,0.3%,아우렐리온 솔 | 자야 | 진 | 오로라 | 바드
타오르는 단궁,C,4.21,-0.00,29.2%,154,0.3%,아우렐리온 솔 | 오로라 | 자야 | 바드 | 벡스
회오리 칼날,C,4.05,-0.00,39.5%,124,0.3%,피오라 | 누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 블리츠크랭크
귀여운 발사기,C,3.94,-0.00,33.3%,108,0.2%,자야 | 그레이브즈 | 우르곳 | 피오라 | 진
엉성한 시제품,C,4.58,-0.00,15.4%,253,0.5%,오로라 | 카르마 | 바드 | 르블랑 | 소나
망가진 시제품,C,4.73,-0.00,15.3%,308,0.7%,일라오이 | 누누와 윌럼프 | 탐 켄치 | 람머스 | 라아스트
그치지 않는 폭풍,C,1.17,-0.00,83.3%,6,0.0%,피오라 | 거대 메크 로봇 | 누누와 윌럼프 | 다이애나 | 람머스
왕 귀여운 발사기,C,2.00,-0.00,83.3%,6,0.0%,자야 | 징크스 | 그레이브즈 | 피오라 | 진
진화한 불꽃 사격,C,2.50,-0.00,66.7%,6,0.0%,오로라 | 아우렐리온 솔 | 벡스 | 바드 | 자야
사자의 비탄,C,2.60,-0.00,60.0%,5,0.0%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 일라오이 | 피오라
베인의 크로마칼날,C,1.67,-0.00,66.7%,3,0.0%,자야 | 피오라 | 그레이브즈 | 징크스 | 진
동물의 종말,C,3.00,-0.00,66.7%,3,0.0%,오로라 | 피오라 | 아우렐리온 솔 | 자야 | 진
완전 빙결,C,1.00,-0.00,100.0%,1,0.0%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 일라오이 | 피오라
토끼 프라임 거대 석궁,C,4.25,-0.00,50.0%,4,0.0%,자야 | 그레이브즈 | 피오라 | 징크스 | 진
촉수 후려치기,D,5.01,+0.00,15.2%,597,1.3%,일라오이 | 누누와 윌럼프 | 람머스 | 탐 켄치 | 거대 메크 로봇
포악한 절단검,D,5.02,+0.00,14.8%,400,0.9%,피오라 | 브라이어 | 우르곳 | 진 | 마스터 이
인도의 저주,D,5.07,+0.00,12.9%,496,1.1%,오로라 | 바드 | 카르마 | 아우렐리온 솔 | 벡스
로켓 연사,D,5.48,+0.00,11.3%,337,0.7%,자야 | 징크스 | 진 | 그레이브즈 | 우르곳
표적 고정 광학 장치,D,4.52,+0.02,7.8%,268,0.6%,파이크 | 마스터 이 | 피오라 | 소나 | 우르곳
드론 업링크,D,4.83,+0.33,7.0%,327,0.7%,빅토르 | 소나 | 마스터 이 | 그라가스 | 파이크
유기물 보존기,D,4.98,+0.48,6.1%,132,0.3%,그라가스 | 일라오이 | 탐 켄치 | 마스터 이 | 라아스트
