Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
일식,S,1.00,-3.50,100.0%,4,0.0%,누누와 윌럼프 | 일라오이 | 거대 메크 로봇 | 람머스 | 피오라
광휘 역장,S,3.38,-1.12,43.3%,134,0.4%,거대 메크 로봇 | 누누와 윌럼프 | 일라오이 | 람머스 | 탐 켄치
공감 임플란트,S,3.97,-0.53,13.9%,259,0.7%,소나 | 빅토르 | 그라가스 | 파이크 | 마스터 이
악성코드 매트릭스,S,4.10,-0.40,14.1%,198,0.5%,마스터 이 | 파이크 | 피오라 | 소나 | 그레이브즈
유기물 보존기,A,4.29,-0.21,9.4%,96,0.3%,그라가스 | 일라오이 | 탐 켄치 | 마스터 이 | 거대 메크 로봇
표적 고정 광학 장치,B,4.34,-0.16,9.1%,186,0.5%,마스터 이 | 파이크 | 피오라 | 소나 | 우르곳
드론 업링크,B,4.40,-0.10,9.1%,242,0.6%,빅토르 | 소나 | 그라가스 | 마스터 이 | 파이크
악성코드 매트릭스,C,4.07,-0.03,15.0%,1145,3.0%,마스터 이 | 파이크 | 킨드레드 | 피오라 | 우르곳
표적 고정 광학 장치,C,4.15,-0.03,14.4%,1117,3.0%,마스터 이 | 파이크 | 킨드레드 | 피오라 | 우르곳
공감 임플란트,C,4.39,-0.02,11.8%,1123,3.0%,빅토르 | 소나 | 카르마 | 마오카이 | 나미
드론 업링크,C,4.48,-0.02,11.3%,1262,3.3%,빅토르 | 소나 | 킨드레드 | 우르곳 | 카르마
유기물 보존기,C,4.30,-0.02,13.1%,941,2.5%,탐 켄치 | 일라오이 | 마오카이 | 그라가스 | 라아스트
전투 토끼 석궁,C,3.36,-0.02,41.6%,346,0.9%,자야 | 징크스 | 그레이브즈 | 우르곳 | 킨드레드
얼음작렬 갑옷,C,2.63,-0.01,53.0%,166,0.4%,거대 메크 로봇 | 누누와 윌럼프 | 일라오이 | 람머스 | 탐 켄치
사자의 비가,C,2.97,-0.01,50.4%,137,0.4%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치
회오리 칼날,C,3.35,-0.01,45.5%,121,0.3%,피오라 | 누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 다이애나
메아리치는 박쥐칼날,C,3.13,-0.01,44.2%,104,0.3%,자야 | 피오라 | 그레이브즈 | 우르곳 | 징크스
타오르는 단궁,C,3.66,-0.00,40.5%,131,0.3%,아우렐리온 솔 | 오로라 | 자야 | 바드 | 벡스
절멸자,C,3.63,-0.00,39.3%,112,0.3%,아우렐리온 솔 | 자야 | 오로라 | 진 | 바드
불꽃 튀는 시제품,C,4.32,-0.00,15.8%,222,0.6%,징크스 | 르블랑 | 진 | 오로라 | 피오라
망가진 시제품,C,4.42,-0.00,18.8%,255,0.7%,일라오이 | 누누와 윌럼프 | 탐 켄치 | 라아스트 | 거대 메크 로봇
귀여운 발사기,C,3.99,-0.00,34.8%,89,0.2%,자야 | 우르곳 | 징크스 | 그레이브즈 | 피오라
촉수 후려치기,C,4.85,-0.00,16.7%,492,1.3%,일라오이 | 누누와 윌럼프 | 람머스 | 탐 켄치 | 거대 메크 로봇
포악한 절단검,C,4.85,-0.00,16.2%,309,0.8%,브라이어 | 피오라 | 우르곳 | 진 | 마스터 이
엉성한 시제품,C,4.80,-0.00,16.8%,190,0.5%,오로라 | 르블랑 | 카르마 | 바드 | 소나
진화한 불꽃 사격,C,1.14,-0.00,85.7%,7,0.0%,오로라 | 아우렐리온 솔 | 벡스 | 자야 | 바드
사자의 비탄,C,1.00,-0.00,100.0%,4,0.0%,거대 메크 로봇 | 누누와 윌럼프 | 일라오이 | 람머스 | 피오라
완전 빙결,C,2.40,-0.00,80.0%,5,0.0%,누누와 윌럼프 | 거대 메크 로봇 | 일라오이 | 람머스 | 피오라
베인의 크로마칼날,C,1.00,-0.00,100.0%,3,0.0%,자야 | 피오라 | 그레이브즈 | 징크스 | 진
왕 귀여운 발사기,C,3.00,-0.00,60.0%,5,0.0%,자야 | 징크스 | 그레이브즈 | 피오라 | 진
토끼 프라임 거대 석궁,C,2.50,-0.00,75.0%,4,0.0%,자야 | 그레이브즈 | 피오라 | 징크스 | 진
동물의 종말,C,1.50,-0.00,50.0%,2,0.0%,오로라 | 피오라 | 아우렐리온 솔 | 자야 | 벡스
그치지 않는 폭풍,C,1.00,-0.00,100.0%,1,0.0%,피오라 | 거대 메크 로봇 | 누누와 윌럼프 | 일라오이 | 블리츠크랭크
로켓 연사,D,5.14,+0.00,16.0%,256,0.7%,징크스 | 자야 | 진 | 킨드레드 | 우르곳
인도의 저주,D,5.23,+0.00,12.5%,376,1.0%,오로라 | 바드 | 카르마 | 아우렐리온 솔 | 벡스
