Unit,Cost,Avg Place,Top 4%,Games,Win%
진,S,3.88,21.7%,"1,273,680",17.6%
바드,S,3.95,21.6%,"1,289,224",17.8%
모르가나,S,3.98,19.8%,"963,643",13.3%
나미,S,4.06,13.2%,"1,046,510",14.4%
소나,S,4.07,17.3%,"783,874",10.8%
쉔,S,4.08,17.6%,"1,403,772",19.4%
블리츠크랭크,S,4.12,17.4%,"1,694,047",23.4%
라아스트,S,4.14,15.3%,"1,968,024",27.1%
파이크,S,4.18,11.4%,"784,314",10.8%
빅토르,A,4.21,11.2%,"696,132",9.6%
리산드라,A,4.21,11.2%,"1,262,406",17.4%
킨드레드,A,4.22,10.4%,"810,199",11.2%
리븐,A,4.26,13.3%,"1,132,804",15.6%
제드,A,4.28,17.3%,"112,115",1.5%
코르키,A,4.30,12.1%,"676,168",9.3%
피오라,A,4.32,17.2%,"978,516",13.5%
벨베스,A,4.35,9.6%,"721,359",9.9%
케이틀린,A,4.35,9.1%,"776,823",10.7%
티모,A,4.36,9.3%,"495,231",6.8%
렉사이,A,4.36,9.1%,"583,849",8.0%
아칼리,A,4.37,12.0%,"1,628,748",22.5%
모데카이저,A,4.37,14.2%,"2,783,381",38.4%
카이사,A,4.38,10.9%,"644,111",8.9%
꼬마 정령,A,4.38,12.2%,"1,923,328",26.5%
벡스,A,4.38,15.6%,"948,632",13.1%
사미라,A,4.39,14.5%,"521,072",7.2%
밀리오,A,4.40,11.1%,"582,002",8.0%
카르마,B,4.41,13.7%,"1,419,728",19.6%
거대 메크 로봇,B,4.42,13.5%,"1,254,317",17.3%
그웬,B,4.43,11.7%,"595,965",8.2%
아트록스,B,4.45,11.1%,"1,462,583",20.2%
조이,B,4.45,8.8%,"496,458",6.8%
탈론,B,4.46,9.7%,"571,702",7.9%
자야,B,4.48,17.8%,"1,324,768",18.3%
마오카이,B,4.48,10.7%,"1,516,978",20.9%
잭스,B,4.48,15.3%,"1,628,908",22.5%
누누와 윌럼프,B,4.48,15.9%,"2,682,705",37.0%
일라오이,B,4.50,11.4%,"1,955,410",27.0%
트위스티드 페이트,B,4.52,8.9%,"545,037",7.5%
람머스,B,4.54,15.2%,"1,806,118",24.9%
나르,B,4.55,18.6%,"792,163",10.9%
우르곳,B,4.55,12.5%,"970,675",13.4%
나서스,B,4.55,9.6%,"727,659",10.0%
오른,B,4.57,11.6%,"1,088,203",15.0%
아우렐리온 솔,B,4.58,15.4%,"435,904",6.0%
르블랑,B,4.59,9.7%,"540,545",7.5%
피즈,C,4.62,11.3%,"488,905",6.7%
레오나,C,4.63,8.5%,"753,932",10.4%
뽀삐,C,4.63,11.6%,"561,033",7.7%
탐 켄치,C,4.65,13.3%,"1,588,971",21.9%
마스터 이,C,4.66,11.0%,"508,133",7.0%
베이가,C,4.67,12.0%,"287,986",4.0%
그레이브즈,C,4.67,14.8%,"694,478",9.6%
초가스,C,4.68,10.6%,"476,326",6.6%
오로라,C,4.70,11.7%,"681,311",9.4%
브라이어,C,4.70,8.4%,"644,318",8.9%
판테온,C,4.74,11.4%,"783,384",10.8%
미스 포츈,D,4.87,6.8%,"143,405",2.0%
그라가스,D,4.87,6.5%,"313,416",4.3%
룰루,D,4.89,9.4%,"231,426",3.2%
이즈리얼,D,4.98,11.0%,"251,442",3.5%
다이애나,D,5.22,7.3%,"122,418",1.7%
징크스,D,6.16,7.2%,"167,860",2.3%
